nom,dataset_count,details
CC du Haut Béarn,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC Intercom Bernay Terres de Normandie,2,"{'gtfs': 3, 'gtfs_rt': 2}"
CC Douarnenez Communauté,3,"{'gtfs': 1, 'netex': 1}"
CC de Montesquieu,1,"{'gtfs': 1, 'netex': 1}"
CC de l'Argonne Champenoise,1,"{'gtfs': 1, 'netex': 1}"
CC de l'Ile-Rousse - Balagne,1,{'gtfs': 1}
CC du Pays de Honfleur-Beuzeville,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC du Briançonnais,1,{'gtfs': 1}
Région Auvergne-Rhône-Alpes (CC des Vallées d'Aigueblanche),1,"{'gtfs': 1, 'gtfs_rt': 1}"
Région Occitanie (CC Coeur de Lozère),1,"{'gtfs': 1, 'gtfs_rt': 1}"
Région Centre-Val de Loire (CC du Pays d'Issoudun),1,{'gtfs': 2}
L'Île-d'Yeu,1,{'gtfs': 2}
Région Auvergne-Rhône-Alpes (CC Les Versants d'Aime),1,{'gtfs': 1}
Région Auvergne-Rhône-Alpes (CC de la Plaine de l'Ain),1,{'gtfs': 1}
CA du Pays Voironnais,0,{}
CC Intercom de la Vire au Noireau,0,{}
CA du Grand Nord de Mayotte,0,{}
Région Auvergne-Rhône-Alpes (CC des Montagnes du Giffre),1,{'gtfs': 1}
Région Occitanie (CC de la Haute-Bigorre),1,"{'gtfs': 1, 'gtfs_rt': 1}"
Région Auvergne-Rhône-Alpes (CC de Haute-Tarentaise),2,"{'gtfs': 2, 'gtfs_rt': 2}"
Région Centre-Val de Loire (CC du Perche),1,"{'gtfs': 1, 'gtfs_rt': 1}"
Région Occitanie (CC Grand-Figeac),1,"{'gtfs': 1, 'gtfs_rt': 1}"
Région Centre-Val de Loire (CC du Val d Amboise),1,{'gtfs': 1}
Région Centre-Val de Loire (CC Vierzon-Sologne-Berry),1,{'gtfs': 1}
Région Auvergne-Rhône-Alpes (CC Coeur de Tarentaise),1,"{'gtfs': 1, 'gtfs_rt': 1}"
Région Nouvelle Aquitaine (CC de l'Ile de Ré),2,"{'gtfs': 2, 'gtfs_rt': 2}"
CC Coeur de Maurienne Arvan,0,{}
Région Auvergne-Rhône-Alpes (CC de l'Oisans),1,"{'gtfs': 1, 'gtfs_rt': 1}"
